loss,accuracy,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag
3.301910692243837e-05,-0.8987928245891896,0.23799729347229004,False,,,1,9c64def190e243188f3edf298eee91c1,2020-12-22_12-40-33,1608669633,0.23799729347229004,21212,DESKTOP-L6D69LH,192.168.1.102,0.23799729347229004,0,1,e7d71380,"3_activation_fn=<function relu at 0x0000019253FF49D8>,lr=0.00067865,num_hidden=3,num_neurons=128"
1.761280782375252e-05,-0.00533753411912441,0.24900174140930176,False,,,2,9c64def190e243188f3edf298eee91c1,2020-12-22_12-40-33,1608669633,0.4869990348815918,21212,DESKTOP-L6D69LH,192.168.1.102,0.4869990348815918,0,2,e7d71380,"3_activation_fn=<function relu at 0x0000019253FF49D8>,lr=0.00067865,num_hidden=3,num_neurons=128"
1.767554749676492e-05,0.012078392512939184,0.20999860763549805,False,,,3,9c64def190e243188f3edf298eee91c1,2020-12-22_12-40-33,1608669633,0.6969976425170898,21212,DESKTOP-L6D69LH,192.168.1.102,0.6969976425170898,0,3,e7d71380,"3_activation_fn=<function relu at 0x0000019253FF49D8>,lr=0.00067865,num_hidden=3,num_neurons=128"
1.8039382666756865e-05,-0.004181761934812345,0.21400237083435059,False,,,4,9c64def190e243188f3edf298eee91c1,2020-12-22_12-40-34,1608669634,0.9110000133514404,21212,DESKTOP-L6D69LH,192.168.1.102,0.9110000133514404,0,4,e7d71380,"3_activation_fn=<function relu at 0x0000019253FF49D8>,lr=0.00067865,num_hidden=3,num_neurons=128"
1.7522084817755967e-05,0.018110825850927936,0.19499993324279785,False,,,5,9c64def190e243188f3edf298eee91c1,2020-12-22_12-40-34,1608669634,1.1059999465942383,21212,DESKTOP-L6D69LH,192.168.1.102,1.1059999465942383,0,5,e7d71380,"3_activation_fn=<function relu at 0x0000019253FF49D8>,lr=0.00067865,num_hidden=3,num_neurons=128"
1.790519763744669e-05,0.003621169960936421,0.20600128173828125,False,,,6,9c64def190e243188f3edf298eee91c1,2020-12-22_12-40-34,1608669634,1.3120012283325195,21212,DESKTOP-L6D69LH,192.168.1.102,1.3120012283325195,0,6,e7d71380,"3_activation_fn=<function relu at 0x0000019253FF49D8>,lr=0.00067865,num_hidden=3,num_neurons=128"
1.7799391571315937e-05,-0.013007395894144347,0.1889972686767578,False,,,7,9c64def190e243188f3edf298eee91c1,2020-12-22_12-40-34,1608669634,1.5009984970092773,21212,DESKTOP-L6D69LH,192.168.1.102,1.5009984970092773,0,7,e7d71380,"3_activation_fn=<function relu at 0x0000019253FF49D8>,lr=0.00067865,num_hidden=3,num_neurons=128"
1.6939235592872137e-05,-0.01588224868861632,0.19699764251708984,False,,,8,9c64def190e243188f3edf298eee91c1,2020-12-22_12-40-34,1608669634,1.6979961395263672,21212,DESKTOP-L6D69LH,192.168.1.102,1.6979961395263672,0,8,e7d71380,"3_activation_fn=<function relu at 0x0000019253FF49D8>,lr=0.00067865,num_hidden=3,num_neurons=128"
1.7378009033564012e-05,0.0019993007631936566,0.20100045204162598,False,,,9,9c64def190e243188f3edf298eee91c1,2020-12-22_12-40-35,1608669635,1.8989965915679932,21212,DESKTOP-L6D69LH,192.168.1.102,1.8989965915679932,0,9,e7d71380,"3_activation_fn=<function relu at 0x0000019253FF49D8>,lr=0.00067865,num_hidden=3,num_neurons=128"
1.6475556549266912e-05,0.037406355764098564,0.19200420379638672,True,,,10,9c64def190e243188f3edf298eee91c1,2020-12-22_12-40-35,1608669635,2.09100079536438,21212,DESKTOP-L6D69LH,192.168.1.102,2.09100079536438,0,10,e7d71380,"3_activation_fn=<function relu at 0x0000019253FF49D8>,lr=0.00067865,num_hidden=3,num_neurons=128"
