loss,accuracy,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag
1.84582568181213e-05,-0.07160171629490453,0.13300061225891113,False,,,1,9459f2c5ff3d450586f20e1ab64ecf8a,2020-12-22_12-40-07,1608669607,0.13300061225891113,5248,DESKTOP-L6D69LH,192.168.1.102,0.13300061225891113,0,1,d81d3a62,"3_activation_fn=<function relu at 0x0000019253FF49D8>,lr=0.00018117,num_hidden=2,num_neurons=32"
1.8018119135376764e-05,-0.11312767306849647,0.1179971694946289,False,,,2,9459f2c5ff3d450586f20e1ab64ecf8a,2020-12-22_12-40-07,1608669607,0.25099778175354004,5248,DESKTOP-L6D69LH,192.168.1.102,0.25099778175354004,0,2,d81d3a62,"3_activation_fn=<function relu at 0x0000019253FF49D8>,lr=0.00018117,num_hidden=2,num_neurons=32"
1.799416531866882e-05,0.0040381935959183934,0.10499858856201172,False,,,3,9459f2c5ff3d450586f20e1ab64ecf8a,2020-12-22_12-40-07,1608669607,0.35599637031555176,5248,DESKTOP-L6D69LH,192.168.1.102,0.35599637031555176,0,3,d81d3a62,"3_activation_fn=<function relu at 0x0000019253FF49D8>,lr=0.00018117,num_hidden=2,num_neurons=32"
1.8587506019684952e-05,-0.021342896803933753,0.09400033950805664,False,,,4,9459f2c5ff3d450586f20e1ab64ecf8a,2020-12-22_12-40-07,1608669607,0.4499967098236084,5248,DESKTOP-L6D69LH,192.168.1.102,0.4499967098236084,0,4,d81d3a62,"3_activation_fn=<function relu at 0x0000019253FF49D8>,lr=0.00018117,num_hidden=2,num_neurons=32"
2.161234624509234e-05,-0.058185737133884086,0.12600374221801758,False,,,5,9459f2c5ff3d450586f20e1ab64ecf8a,2020-12-22_12-40-07,1608669607,0.576000452041626,5248,DESKTOP-L6D69LH,192.168.1.102,0.576000452041626,0,5,d81d3a62,"3_activation_fn=<function relu at 0x0000019253FF49D8>,lr=0.00018117,num_hidden=2,num_neurons=32"
2.0131386918365024e-05,-0.05524748934760648,0.1179959774017334,False,,,6,9459f2c5ff3d450586f20e1ab64ecf8a,2020-12-22_12-40-07,1608669607,0.6939964294433594,5248,DESKTOP-L6D69LH,192.168.1.102,0.6939964294433594,0,6,d81d3a62,"3_activation_fn=<function relu at 0x0000019253FF49D8>,lr=0.00018117,num_hidden=2,num_neurons=32"
1.682933998381486e-05,0.012765351988301088,0.09500265121459961,False,,,7,9459f2c5ff3d450586f20e1ab64ecf8a,2020-12-22_12-40-07,1608669607,0.788999080657959,5248,DESKTOP-L6D69LH,192.168.1.102,0.788999080657959,0,7,d81d3a62,"3_activation_fn=<function relu at 0x0000019253FF49D8>,lr=0.00018117,num_hidden=2,num_neurons=32"
2.0923735974065494e-05,-0.04408293157780485,0.10899949073791504,False,,,8,9459f2c5ff3d450586f20e1ab64ecf8a,2020-12-22_12-40-08,1608669608,0.897998571395874,5248,DESKTOP-L6D69LH,192.168.1.102,0.897998571395874,0,8,d81d3a62,"3_activation_fn=<function relu at 0x0000019253FF49D8>,lr=0.00018117,num_hidden=2,num_neurons=32"
1.862930275819963e-05,0.011686838983094416,0.09799718856811523,False,,,9,9459f2c5ff3d450586f20e1ab64ecf8a,2020-12-22_12-40-08,1608669608,0.9959957599639893,5248,DESKTOP-L6D69LH,192.168.1.102,0.9959957599639893,0,9,d81d3a62,"3_activation_fn=<function relu at 0x0000019253FF49D8>,lr=0.00018117,num_hidden=2,num_neurons=32"
1.7967978692468023e-05,-0.05686075738686003,0.14000201225280762,True,,,10,9459f2c5ff3d450586f20e1ab64ecf8a,2020-12-22_12-40-08,1608669608,1.1359977722167969,5248,DESKTOP-L6D69LH,192.168.1.102,1.1359977722167969,0,10,d81d3a62,"3_activation_fn=<function relu at 0x0000019253FF49D8>,lr=0.00018117,num_hidden=2,num_neurons=32"
