loss,accuracy,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag
2.920926908700494e-05,-0.8942428013942865,0.09607386589050293,False,,,1,f2c8010c73474c51bd20e1ae491413fd,2020-12-22_12-39-50,1608669590,0.09607386589050293,9740,DESKTOP-L6D69LH,192.168.1.102,0.09607386589050293,0,1,d2a957d4,"1_activation_fn=<function relu at 0x0000019253FF49D8>,lr=0.0026574,num_hidden=4,num_neurons=16"
3.930447383027058e-05,-0.6588923682349053,0.1169283390045166,False,,,2,f2c8010c73474c51bd20e1ae491413fd,2020-12-22_12-39-50,1608669590,0.21300220489501953,9740,DESKTOP-L6D69LH,192.168.1.102,0.21300220489501953,0,2,d2a957d4,"1_activation_fn=<function relu at 0x0000019253FF49D8>,lr=0.0026574,num_hidden=4,num_neurons=16"
3.422059307922609e-05,-0.4502009197173542,0.09999918937683105,False,,,3,f2c8010c73474c51bd20e1ae491413fd,2020-12-22_12-39-50,1608669590,0.3130013942718506,9740,DESKTOP-L6D69LH,192.168.1.102,0.3130013942718506,0,3,d2a957d4,"1_activation_fn=<function relu at 0x0000019253FF49D8>,lr=0.0026574,num_hidden=4,num_neurons=16"
1.6155925095517887e-05,-0.022641239149634895,0.11400151252746582,False,,,4,f2c8010c73474c51bd20e1ae491413fd,2020-12-22_12-39-50,1608669590,0.4270029067993164,9740,DESKTOP-L6D69LH,192.168.1.102,0.4270029067993164,0,4,d2a957d4,"1_activation_fn=<function relu at 0x0000019253FF49D8>,lr=0.0026574,num_hidden=4,num_neurons=16"
2.8245946850802284e-05,-0.17652041597128543,0.1130056381225586,False,,,5,f2c8010c73474c51bd20e1ae491413fd,2020-12-22_12-39-50,1608669590,0.540008544921875,9740,DESKTOP-L6D69LH,192.168.1.102,0.540008544921875,0,5,d2a957d4,"1_activation_fn=<function relu at 0x0000019253FF49D8>,lr=0.0026574,num_hidden=4,num_neurons=16"
2.8682768061116803e-05,-0.021101546354954204,0.11099362373352051,False,,,6,f2c8010c73474c51bd20e1ae491413fd,2020-12-22_12-39-50,1608669590,0.6510021686553955,9740,DESKTOP-L6D69LH,192.168.1.102,0.6510021686553955,0,6,d2a957d4,"1_activation_fn=<function relu at 0x0000019253FF49D8>,lr=0.0026574,num_hidden=4,num_neurons=16"
1.576426438987255e-05,-0.00729787783661906,0.12302374839782715,False,,,7,f2c8010c73474c51bd20e1ae491413fd,2020-12-22_12-39-50,1608669590,0.7740259170532227,9740,DESKTOP-L6D69LH,192.168.1.102,0.7740259170532227,0,7,d2a957d4,"1_activation_fn=<function relu at 0x0000019253FF49D8>,lr=0.0026574,num_hidden=4,num_neurons=16"
2.2551960682903882e-05,-0.0005134297624360684,0.11097455024719238,False,,,8,f2c8010c73474c51bd20e1ae491413fd,2020-12-22_12-39-50,1608669590,0.885000467300415,9740,DESKTOP-L6D69LH,192.168.1.102,0.885000467300415,0,8,d2a957d4,"1_activation_fn=<function relu at 0x0000019253FF49D8>,lr=0.0026574,num_hidden=4,num_neurons=16"
1.5800992969161598e-05,-0.06467556026740295,0.09900331497192383,False,,,9,f2c8010c73474c51bd20e1ae491413fd,2020-12-22_12-39-51,1608669591,0.9840037822723389,9740,DESKTOP-L6D69LH,192.168.1.102,0.9840037822723389,0,9,d2a957d4,"1_activation_fn=<function relu at 0x0000019253FF49D8>,lr=0.0026574,num_hidden=4,num_neurons=16"
1.937313982125488e-05,-0.0909179582779942,0.09100079536437988,True,,,10,f2c8010c73474c51bd20e1ae491413fd,2020-12-22_12-39-51,1608669591,1.0750045776367188,9740,DESKTOP-L6D69LH,192.168.1.102,1.0750045776367188,0,10,d2a957d4,"1_activation_fn=<function relu at 0x0000019253FF49D8>,lr=0.0026574,num_hidden=4,num_neurons=16"
